id,keyword,type,createdBy,createdById,createdAt,updatedBy,updatedById,updatedAt
58bff848bdeac5b071096b98,BH-IDBI,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:25:44 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:25:44 pm
58bff9d3bdeac5b071096bbf,BOB,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:32:19 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:32:19 pm
58bffa07bdeac5b071096bc3,BOBIND,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:33:11 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:33:11 pm
58bffa91bdeac5b071096bd3,BOI,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:35:29 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:35:29 pm
58bff930bdeac5b071096baf,BP-ATMSBI,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:29:36 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:29:36 pm
58bffab0bdeac5b071096bd6,BP-YESBANK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:36:00 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:36:00 pm
58bffb11bdeac5b071096be0,BT-INDBNK,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:37:37 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:37:37 pm
58bff916bdeac5b071096bad,BX-ATMSBI,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:29:10 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:29:10 pm
58bff958bdeac5b071096bb2,BX-SBIACS,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:30:16 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:30:16 pm
58bff927bdeac5b071096bae,BZ-ATMSBI,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:29:27 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:29:27 pm
58bffa67bdeac5b071096bce,BZ-BOIIND,VALID SENDER,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:34:47 pm,Sudipto Mahindar,5785eeb69675708b7c6b62ce,2017-03-08 12:34:47 pm
